Currency,Event
USD,FOMC Member Mester Speaks
USD,FOMC Member Waller Speaks
USD,Industrial Production m/m
USD,Inflation Expectations q/q
USD,ISM Services PMI
USD,Official Cash Rate
USD,OPEC-JMMC Meetings
USD,Philly Fed Manufacturing Index
USD,PPI m/m
USD,RBNZ Monetary Policy Statement
USD,RBNZ Press Conference
USD,RBNZ Rate Statement
USD,Retail Sales m/m
USD,Revised UoM Consumer Sentiment
USD,Unemployment Claims
USD,WEF Annual Meetings
CAD,10-y Bond Auction
CAD,BOC Gov Macklem Speaks
CAD,BOC Rate Statement
CAD,CB Consumer Confidence
CAD,Common CPI y/y
CAD,Core CPI m/m
CAD,Core Durable Goods Orders m/m
CAD,CPI m/m
CAD,CPI y/y
CAD,Crude Oil Inventories
CAD,Durable Goods Orders m/m
CAD,Federal Funds Rate
CAD,FOMC Economic Projections
CAD,FOMC Meeting Minutes
CAD,FOMC Member Brainard Speaks
CAD,FOMC Member George Speaks
CAD,FOMC Member Mester Speaks
CAD,FOMC Member Waller Speaks
CAD,FOMC Press Conference
CAD,FOMC Statement
CAD,G20 Meetings
CAD,ISM Services PMI
CAD,Median CPI y/y
CAD,Overnight Rate
CAD,Richmond Manufacturing Index
CAD,Treasury Currency Report
CAD,Treasury Sec Yellen Speaks
CAD,Trimmed CPI y/y
CAD,Unemployment Claims
CAD,WEF Annual Meetings
CHF,30-y Bond Auction
CHF,Advance GDP Price Index q/q
CHF,Advance GDP q/q
CHF,Chicago PMI
CHF,Core CPI m/m
CHF,Core Durable Goods Orders m/m
CHF,Core PPI m/m
CHF,CPI m/m
CHF,CPI y/y
CHF,Durable Goods Orders m/m
CHF,Federal Funds Rate
CHF,Flash Manufacturing PMI
CHF,Flash Services PMI
CHF,FOMC Economic Projections
CHF,FOMC Press Conference
CHF,FOMC Statement
CHF,G20 Meetings
CHF,ISM Services PMI
CHF,KOF Economic Barometer
CHF,Pending Home Sales m/m
CHF,PPI m/m
CHF,SNB Chairman Jordan Speaks
CHF,SNB Monetary Policy Assessment
CHF,SNB Policy Rate
CHF,SNB Press Conference
CHF,Treasury Sec Yellen Speaks
CHF,Unemployment Claims
JPY,10-y Bond Auction
JPY,ADP Non-Farm Employment Change
JPY,BOJ Press Conference
JPY,CB Consumer Confidence
JPY,Chicago PMI
JPY,Core Durable Goods Orders m/m
JPY,Crude Oil Inventories
JPY,Durable Goods Orders m/m
JPY,Federal Funds Rate
JPY,FOMC Member Waller Speaks
JPY,FOMC Press Conference
JPY,FOMC Statement
JPY,G20 Meetings
JPY,JOLTS Job Openings
JPY,Pending Home Sales m/m
JPY,Unemployment Claims
USD,30-y Bond Auction
USD,ADP Non-Farm Employment Change
USD,Average Hourly Earnings m/m
USD,CB Consumer Confidence
USD,Chicago PMI
USD,Core CPI m/m
USD,Core Durable Goods Orders m/m
USD,Core PPI m/m
USD,Core Retail Sales m/m
USD,CPI m/m
USD,CPI y/y
USD,Crude Oil Inventories
USD,Durable Goods Orders m/m
USD,Empire State Manufacturing Index
USD,Fed Chair Powell Speaks
USD,Fed Chair Powell Testifies
USD,Federal Funds Rate
USD,Final GDP q/q
USD,Flash Manufacturing PMI
USD,Flash Services PMI
USD,FOMC Meeting Minutes
USD,FOMC Member Bostic Speaks
USD,FOMC Member Bullard Speaks
USD,FOMC Member Clarida Speaks
USD,FOMC Member Evans Speaks
USD,FOMC Member Waller Speaks
USD,FOMC Member Williams Speaks
USD,FOMC Press Conference
USD,FOMC Statement
USD,ISM Manufacturing PMI
USD,ISM Manufacturing Prices
USD,ISM Services PMI
USD,Non-Farm Employment Change
USD,OPEC-JMMC Meetings
USD,Pending Home Sales m/m
USD,Philly Fed Manufacturing Index
USD,PPI m/m
USD,Prelim UoM Consumer Sentiment
USD,Prelim UoM Inflation Expectations
USD,President Biden Speaks
USD,Retail Sales m/m
USD,Treasury Currency Report
USD,Treasury Sec Yellen Speaks
USD,Unemployment Claims
USD,Unemployment Rate
